ID,YLD_BUPA,TW_LBBU,HD_JUL,HT_IN,PMD09,LFRUST09,FHB09
LINE472,83.34,54.87,117.83,35.64,2.46,5.94,3.00
LINE473,76.28,55.45,124.04,37.17,2.21,8.19,2.00
LINE474,80.42,55.56,124.52,37.19,2.48,NA,NA
LINE475,78.91,56.05,119.55,33.72,3.48,NA,NA
LINE476,85.65,56.64,119.82,34.67,0.98,NA,NA
LINE477,86.80,56.64,122.70,36.58,1.46,4.19,2.00
LINE478,80.09,56.91,119.21,37.17,1.71,6.19,3.00
LINE479,87.81,58.10,121.46,35.83,0.71,5.19,2.00
LINE48,70.95,55.59,118.85,32.61,2.06,0.68,1.50
LINE480,77.48,56.81,117.62,34.77,3.48,NA,NA
LINE481,85.13,56.73,119.31,34.12,0.46,4.94,1.00
LINE482,81.45,54.35,118.45,34.21,1.97,6.69,NA
LINE483,77.75,57.69,117.57,36.82,1.96,5.44,2.00
LINE484,77.00,57.66,117.86,37.99,1.96,5.69,2.00
LINE485,80.46,56.21,118.91,36.94,1.46,2.94,1.00
LINE486,86.56,58.42,119.58,36.05,2.46,6.94,2.00
